IGBP,TIMESTAMP,LAT,LON,BLUE_L,GREEN_L,RED_L,NIR_L,SWIR1_L,SWIR2_L,NDVI_L,LSWI_L,NIRV_L,NIRVP_L,PAR_M,TA_E,VPD_E
DBF,2004-04-13,53.6289,-106.1978,0.07867883,0.095032444,0.108673095,0.170111859,0.179788603,0.122440409,0.220380485,-0.02476904,0.037489334,3.712280564,99.02231325,273.2828058,0.343750487
DBF,2004-07-18,53.6289,-106.1978,0.01752751,0.03347013,0.022113085,0.329900674,0.145671997,0.055956874,0.874362382,0.387117701,0.288452739,37.82130458,131.1178555,295.2927183,0.82610311
DBF,2004-08-03,53.6289,-106.1978,0.017020821,0.033937792,0.021832314,0.327224877,0.143886306,0.052946696,0.874906953,0.388870267,0.28629132,35.88106392,125.3306034,289.1557299,0.62939509
DBF,2004-08-12,53.6289,-106.1978,0.035115615,0.047211817,0.032683764,0.362500471,0.158465755,0.060328575,0.834589738,0.391467817,0.302539173,33.45861087,110.5926565,287.8495859,0.506859643
DBF,2004-08-19,53.6289,-106.1978,0.01774563,0.034158135,0.021906021,0.317914631,0.136041685,0.050281185,0.871073043,0.399965975,0.276926865,33.25765769,120.0954545,284.3230667,0.586179272
DBF,2004-08-28,53.6289,-106.1978,0.028245654,0.042857835,0.030872683,0.33913577,0.150784587,0.057942158,0.833124444,0.385833218,0.282542299,26.68024896,94.42922,286.0261466,0.297414349
DBF,2004-09-13,53.6289,-106.1978,0.0214356,0.041703804,0.025404296,0.303915397,0.131176906,0.049393777,0.845716511,0.395839463,0.257026269,21.34402094,83.042177,282.5056108,0.362749587
DBF,2004-10-06,53.6289,-106.1978,0.042267321,0.058197004,0.068487049,0.149711317,0.173709105,0.1085267,0.372249662,-0.074628196,0.055729987,3.142501588,56.38798325,284.4774939,0.373122611
DBF,2004-11-07,53.6289,-106.1978,0.111970177,0.116796031,0.116880286,0.170944466,0.083076404,0.062756532,0.187837146,0.345098139,0.032109721,0.715331454,22.27772275,269.9449107,0.219193427
DBF,2004-11-16,53.6289,-106.1978,0.104821449,0.103181723,0.104934289,0.16804383,0.090421726,0.065664018,0.231189009,0.301790637,0.038849887,0.774410325,19.93339983,275.1396281,0.135003852
DBF,2004-11-23,53.6289,-106.1978,0.133983712,0.137093173,0.132762188,0.193873374,0.112913205,0.086491552,0.187092874,0.264436743,0.036272327,0.621075938,17.12258338,266.4609216,0.123765787
DBF,2005-03-15,53.6289,-106.1978,0.265884986,0.280919738,0.285420671,0.328559641,0.127669818,0.090872991,0.070261161,0.439408531,0.023084982,1.608637525,69.68329213,257.581672,0.051579858
DBF,2005-03-24,53.6289,-106.1978,0.304171855,0.315853658,0.320664462,0.363454481,0.119302796,0.080658296,0.06254763,0.504814215,0.022733216,1.88531502,82.932172,262.4013513,0.081106006
