TA_E,VPD_E,PAR_M,NDVI_L,NIRV_L,LSWI_L,NIRVP_L,prediction_label
289.91516,0.66752213,150.01202,0.8774123,0.34669212,0.4417033,52.007984,14.883700981188543
291.54712,0.6938762,133.40648,0.8644301,0.3058517,0.4063005,40.802597,11.618463805723952
288.76385,0.63997823,86.18608,0.70872784,0.24050525,0.38994834,20.728205,8.218692275273645
280.80273,0.24258049,54.645664,0.8612957,0.18334511,0.3663663,10.019015,3.8482332491169324
282.8276,0.3674135,59.34582,0.37839326,0.055399153,-0.10716133,3.2877083,0.8603610530076427
285.63242,0.34987018,57.944016,0.3716645,0.047158346,-0.1508549,2.7325437,0.8434484012955826
267.5842,0.09833641,71.68893,0.026135892,0.013784853,0.605528,0.98822135,0.1387291924208482
298.63135,0.7822107,121.09446,0.5512405,0.15309122,0.03460936,18.5385,4.286605242088116
279.88147,0.27123278,37.49624,0.31479463,0.055612467,-0.14487651,2.0852582,0.7731123570519055
288.0382,0.7385278,152.94293,0.46646154,0.13263215,0.004786875,20.285152,4.60424015044399
263.49686,0.08016601,51.42764,0.013358521,0.006646365,0.6837425,0.3418069,0.04772891001723403
275.51587,0.24081545,107.05071,0.006591308,0.002449792,0.70286757,0.26225194,0.5427890717168424
296.58807,0.96216464,148.89386,0.44360626,0.123327374,-0.04117748,18.36269,4.48244874996642
293.63486,0.97249305,156.9091,0.50287193,0.12757747,-0.03641633,20.018064,5.366020234403585
289.2008,0.6535208,93.626656,0.5668835,0.14041504,0.002982372,13.146589,3.522066331198289
280.48822,0.28692374,60.89904,0.4945782,0.12391297,-0.014498166,7.5461807,1.866067064409467
279.36594,0.1978464,43.40822,0.44760686,0.1054697,-0.026602335,4.5782523,1.258271898747108
269.68106,0.08114406,58.892563,0.03740569,0.023154916,0.7882671,1.3636523,0.2291883624494191
269.5191,0.122245185,74.12776,0.083169855,0.043312196,0.6142548,3.2106364,0.3419063778308094
298.2905,1.5325973,142.96512,0.5394186,0.16084842,0.059005234,22.995714,6.079468306820677
292.69205,1.0810593,153.35394,0.5377855,0.15517803,0.04739581,23.797161,5.982481069135542
288.69653,0.70909476,105.39833,0.65626836,0.15670682,0.08657761,16.516636,3.9726890681936364
295.556,0.9524503,157.4091,0.66369057,0.20947531,0.20568356,32.97332,8.181916797784364
297.6154,0.5407732,147.83765,0.6583655,0.19411597,0.17861293,28.697647,7.896196132903849
295.17206,0.5133055,124.293304,0.68865615,0.23196523,0.2806535,28.831726,8.268825707147135
295.74506,0.79132897,113.68788,0.6767954,0.1894114,0.17431326,21.533781,6.144722598033539
290.1056,0.65524524,99.52701,0.6443171,0.1562221,0.15330707,15.548318,4.633212970113098
284.3705,0.49117562,82.12075,0.6162263,0.14891252,0.104452275,12.228807,3.3203342601307173
271.58347,0.1821458,91.86904,0.44594598,0.108641095,0.016349856,9.980753,1.2585274238128545
285.88412,0.25978166,126.05474,0.47352493,0.13274369,0.10805634,16.732971,3.815810354526419
281.93878,0.65433186,151.80501,0.5678836,0.15878573,0.0984935,24.104471,3.676185714724516
287.0742,0.46515316,112.42766,0.59782606,0.18364994,0.15741818,20.647333,5.49594798079492
292.49744,0.9436286,136.9797,0.7387998,0.23839088,0.26904488,32.654713,8.311944878103715
295.66528,0.7087107,123.764626,0.7108668,0.2297284,0.21971998,28.43225,7.441998366597304
265.9006,0.06882732,37.934902,0.25238937,0.13731256,0.6935398,5.208939,0.24146310183052702
276.2235,0.24978298,96.029274,0.55526495,0.13912885,0.114176564,13.360442,2.669448147209248
285.57272,0.44058228,94.90145,0.4669412,0.12365083,0.07802874,11.734644,3.7027748777585128
288.19537,0.47975934,140.68028,0.61372924,0.18051656,0.15957592,25.39512,6.909258298792684
291.99847,0.8742279,148.43553,0.62999433,0.18905565,0.19371065,28.062578,7.195627345592799
294.80194,0.8531775,152.5072,0.7414824,0.26527965,0.32036066,40.457058,9.673864960402772
301.25397,1.1461598,153.2103,0.7668629,0.27187276,0.35374424,41.6537,11.260863860879752
297.00732,0.92935807,94.92288,0.7078573,0.32066226,0.32789284,30.438187,9.298458049413078
287.34695,0.5739966,56.369343,0.5917788,0.25054052,0.2318169,14.122806,5.520771774955171
287.95163,0.26401204,64.33676,0.6498814,0.2136904,0.2896239,13.748149,4.886385508675756
283.38397,0.2942253,130.35167,0.6470342,0.2038284,0.23365764,26.569372,6.063625881328699
298.41318,0.67406833,149.60922,0.72099024,0.25263977,0.33936882,37.79724,11.85622766694994
294.9279,0.7912032,113.9678,0.8214588,0.294209,0.41330004,33.53035,9.46589091610546
300.5012,2.347969,139.07631,0.18388508,0.048967384,-0.08128036,6.810203,0.9018118681887045
301.434,2.542264,155.8231,0.24050307,0.05730274,-0.12512301,8.9290905,1.0130739300806881
293.0731,1.1511981,153.85559,0.4154036,0.09406671,-0.066783294,14.47269,2.831953220811971
300.57077,1.5235648,143.54427,0.40301117,0.098915115,-0.02904846,14.198696,2.7448646753194956
297.4323,1.5203984,142.42912,0.44981322,0.10919634,-0.005665291,15.552739,3.549307793151779
296.264,1.5323968,125.23231,0.4548875,0.10704756,0.021319076,13.405813,3.5218553223385274
294.9995,1.5237944,115.44508,0.37149042,0.08904496,-0.024667911,10.279802,2.5075513154479134
294.31387,1.2238977,106.25048,0.34567294,0.07316548,-0.05728016,7.773867,2.1095749347180193
290.44916,1.075483,96.49016,0.30921316,0.06472208,-0.11474384,6.245044,1.2362209558541515
285.66635,0.81114966,88.56807,0.27073044,0.0518663,-0.14121975,4.5936985,0.6787450822003834
268.9706,0.28396207,62.588936,0.10159409,0.018548384,-0.23880489,1.1609237,-0.02227382208072043
273.96582,0.42398852,68.385414,0.094179384,0.019922595,-0.21288492,1.3624148,0.011035526637524757
272.64926,0.4020384,77.12897,0.11174311,0.020089023,-0.24464433,1.5494456,0.011035526637524757
279.89142,0.5472662,89.237816,0.12990345,0.024736512,-0.24261825,2.2074323,0.19264495543048188
277.93216,0.42265892,80.736984,0.11527155,0.021165501,-0.24464934,1.7088388,0.1668284951187501
284.46338,0.40460303,104.00836,0.087129936,0.017838906,-0.21013424,1.8553954,0.22434577479977202
287.81747,0.91840005,107.528114,0.079552054,0.018717673,-0.19473785,2.0126762,0.3522892871826947
285.59662,0.9115532,139.58699,0.15378822,0.032171685,-0.22435884,4.4907494,0.4788100100841904
289.32974,1.0620531,150.73465,0.19807763,0.043176655,-0.18578802,6.508218,0.8036236519189195
293.5127,1.3936625,157.77643,0.23210236,0.05093137,-0.14489807,8.035769,0.8663719325888739
296.50934,1.0967531,144.26389,0.41998056,0.09251156,0.06761502,13.346077,4.033325841577571
299.8597,1.1017624,134.73372,0.60626334,0.20275104,0.25311396,27.317404,7.131133079862594
296.543,1.0615475,133.63225,0.5576317,0.14956836,0.16295227,19.987158,6.108515552700919
293.66406,0.7779238,121.64905,0.46307394,0.09082813,0.0788019,11.049155,3.2805486953775573
290.149,0.91941774,107.228,0.39331692,0.08362643,-0.020928256,8.967094,2.5017775677139964
286.61362,0.8007818,83.78408,0.23482472,0.046798933,-0.11545987,3.9210057,0.6765195026430051
285.9233,0.9588135,70.18535,0.18926655,0.03819503,-0.1590526,2.6807315,0.43122475405528776
276.69522,0.5631249,49.886868,0.15050514,0.029531142,-0.17800318,1.4732162,0.13677064900396071
264.7923,0.15606897,17.59015,0.04307492,0.014948933,0.28131077,0.262954,0.10129381860091546
